Food_type,food_category,Serving Weight (g),Protein (g),Fat (g),Sugars (g),calorie (kcal),Carbohydrate (g)
pancakes,pancakes,112,10,1.7,2.210000038,355,73.6
onion_rings,onion_rings,454,3.15,14.1,0,258,30.53
macaroni and cheese,macaroni_and_cheese,244,3.38,2.46,0.5,82,11.52
lasagna,stouffer's_lasagna_w/_meat_&_sau,595,8.04,3.77,2.200000048,116,12.57
lasagna,lasagna,243.1,6.54,5.33,4.230000019,130,13.84
lasagna,lasagna_w/_meat_&_sau,297,8.26,4.73,2.130000114,127,12.87
ice_cream,snickers_ice_cream,1 bar (50 g),4.78,4.83,22.12000084,165,25.8
ice_cream,chocolate_chip_ice_cream,1 scoop (72 g),3.5,16.2,20.64999962,249,22.29
ice_cream,cookie_dough_ice_cream,1/2 cup (65 g),4.1,13,21.15999985,222,22.2
ice_cream,french_vanilla_ice_cream,1 scoop (72 g),3.5,11,21.21999931,207,23.6
ice_cream,strawberry_ice_cream,1 scoop (72 g),4.9,2.6,10.84000015,126,21.8
hummus,hummus,246,4.86,8.59,0.270000011,177,20.12
frozen_yogurt,frozen_yogurts,72,4,5.6,24,163,24.2
french_toast,french_toast,28.35,7.4,6.1,0,213,32.1
french_toast,cinnamon_swirl_french_toast_w/sausage,156,8.4,14.9,0,266,24.5
foie_gras,pate_de_foie_gras,13,11.4,43.84,0,462,4.67
falafel,falafel,17,13.31,17.8,0,333,31.84
edamame,edamame,118.33,10.25,4.73,2.480000019,110,8.58
cheesecake,cheesecakeprep_from_mix,28.35,5.5,12.7,0,274,35.5
breakfast burrito,breakfast_burrito,99,9.7,7,0,214,28.1
